Job_Title,Job_Link,Job_Type,Budget,Job_Description,Proposals,Amount,Country,Score,Job_Duration,Job_Post_Time,Rating,Reviews
1128: Big data and cloud computing work,https://www.upwork.com/jobs/1128-Big-data-and-cloud-computing-work_~011df2ae29eaf53299/?referrer_url_path=find_work_home,Fixed-price,55.0,Deadline: 25th December Deliverables: Code + Knowledge transfer session + report rest details will discuss once we got your proposal,Less than 5,2000.0,India,0.0,,,,
Experienced AI Engineer Needed for Exciting Project with Potential for Long-Term Engagement,https://www.upwork.com/jobs/Experienced-Engineer-Needed-for-Exciting-Project-with-Potential-for-Long-Term-Engagement_~01ea5955b1f67927ae/?referrer_url_path=find_work_home,Hourly: $3-$20,,"We are a dynamic AI agency at the forefront of technological innovation, seeking a highly skilled AI Engineer to join our team for an exciting project. This initial engagement has the potential to evolve into a permanent position for the right candidate. Key Responsibilities: Develop and implement AI solutions, with a focus on chatbot development and integration using OpenAI APIs, other LLM's, open source models. Work with a variety of programming languages, primarily Python. Utilize no-code platforms for rapid prototyping and deployment. Collaborate with our team to design, develop, and optimize AI-driven applications. Stay abreast of emerging trends and advancements in AI and machine learning. Fine tuning model Machine vision and other AI areas are a plus Requirements: Proven experience in AI and machine learning, specifically with a portfolio showcasing chatbot development. Strong proficiency in Python and familiarity with other programming languages. Experience with OpenAI APIs and a solid understanding of their capabilities. Proficiency in using no-code platforms for AI application development. Excellent problem-solving skills and the ability to work independently or as part of a team. Strong communication skills, with fluency in English. Desirable Skills: Experience with other AI technologies and frameworks. A background in data science or a related field. Previous work in an agency or on diverse AI projects. What We Offer: An opportunity to work on cutting-edge AI projects. A collaborative and innovative work environment. Competitive compensation. Potential for a long-term position and career growth within our agency. Application Process: Please submit your resume along with a cover letter and a portfolio of relevant projects. Shortlisted candidates will be contacted for an interview, which may include a technical assessment. We look forward to hearing from you and potentially welcoming you to our team!",Less than 5,3000.0,Spain,2.0,"3 to 6 months, 30+ hrs/week",,,
OpenAI assistant,https://www.upwork.com/jobs/OpenAI-assistant_~01bd055b8ab95c1700/?referrer_url_path=find_work_home,Fixed-price,75.0,"Looking for a developer who will start a new application that will use OpenAI and API. The assistant should accept a screenshot and analyze it based on a predefined prompt. After the first result, chat can also be used. We will discuss more details in the interview. It's important to have experience and do it for my budget, which is $75-$100 max. Don't waste my time if the budget doesn't suit you. The assistant can be written in one of the following programming languages: Python, Ruby on Rails or JavaScript (node.js, next.js....)",Less than 5,2000.0,Macedonia,2.0,,,,
Android app,https://www.upwork.com/jobs/Android-app_~0182f04db247395964/?referrer_url_path=find_work_home,Fixed-price,100.0,I have an app. You need to have a google play console with apps. I need to publish my app,Less than 5,0.0,Ukraine,0.0,,,,
Store AI SaaS - POC,https://www.upwork.com/jobs/Store-SaaS-POC_~01ae26877e37cb74aa/?referrer_url_path=find_work_home,Fixed-price,,"We have a project to be developed for the POC, we don't require any UI or fancy dashboard to develop a proof of concept. The requirements are, A user could provide the Store Data (Like Walmart, Reliance, etc.) The data would be uploaded in the system and also cleaned as per the System Database structure. The Data later once getting cleaned would be used to train the ML Model. This ML Model will be able to tell the impact of changing, removing, or adding new products in the Stores. Think of it like a person who would be able to tell what impact the Sales of the Store can have if you replace, add, or change a particular product in a store. FYI: In stores, each product is displayed and stored in a format for getting the most Sales if we change or disturb it that will result in either an increase or decrease in Sales, now this is work we want to do form an AI. I'm happy to share more information and documents once we have a meet and discuss things further. Again please keep in mind we do not want any kind of MVP Dashboard and all normal CMD working would be also fine to see the core ML part and Data part working.",Less than 5,100.0,United Kingdom,4.0,,,,
Who.is Data scraper,https://www.upwork.com/jobs/Who-Data-scraper_~01069b5104ff7124c9/?referrer_url_path=find_work_home,Fixed-price,35.0,"The chosen one for the job will have to build a scraper that collects details about a website from https://who.is/. Information required: - Domain registered on - Registrant contact information (Name, organization address, postal code, country, city, state, phone number, email) This capability needs to be built fast and efficiently enough to check for at least 1000 websites daily. You will also be responsible for running the script and fetching the data.",Less than 5,100.0,United States,7.0,,,,
OpenAI API for Pipedream,https://www.upwork.com/jobs/OpenAI-API-for-Pipedream_~01aa1bc4c8b528b2e4/?referrer_url_path=find_work_home,Hourly: $8,,Develop the Telegram interface and connectors into OpenAI via Pipedream,Less than 5,8000.0,Malaysia,1.0,"Less than 1 month, Less than 30 hrs/week",,,
Android development,https://www.upwork.com/jobs/Android-development_~013b50cbb93fd3138d/?referrer_url_path=find_work_home,Fixed-price,80.0,"I have android app. You need to have google console. If you have it and have your app there, thats nice!",Less than 5,0.0,Ukraine,0.0,,,,
Upgrade OCA module server-backend to 17.0,https://www.upwork.com/jobs/Upgrade-OCA-module-server-backend_~01312b790d053ac6df/?referrer_url_path=find_work_home,Fixed-price,50.0,"Hi. I want to use the Odoo Community Assossiations module for CalDav that can be found in the linke below. I need you to update the module, so the OCA is accepting this for 17.0. Since I do not have a big budget ( I am independant as well ), besides the pay, you can check it in on github as well as a 5* revew. The job is quite straight forward: When you changes are online on the OCAs github and accepted, you are finished ;) https://github.com/OCA/server-backend/tree/17.0 Looking forward working with you Oliver",Less than 5,61.0,Paraguay,2.0,,,,
Need a developer for text to speech tool,https://www.upwork.com/jobs/Need-developer-for-text-speech-tool_~0182ba591b460f9148/?referrer_url_path=find_work_home,Fixed-price,50.0,"For an MVP and first out of many tools we will build, we need a developer who can make a simple text to speech tool using open ai api with simple flow: - text field for the transcribe - voice type selection (out of open AI options) - Ability to play or download the voice file (MP3) - ability to change open AI api-key if you read all the requirements please write the word speech in the proposal title so I know you are serious",Less than 5,10000.0,Israel,1.0,,,,
